date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:45	841/841	------	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Jan%202020%2017:05:39%20GMT	http://mudesuarotina.com/robots.txt		(from )
14:47:45	23887/23887	------	200	untouched ('OK')	text/html	date:Sun,%2028%20Jun%202020%2017:46:20%20GMT	http://mudesuarotina.com/marketingdigital/	D:/sites/MSR/mudesuarotina.com/marketingdigital/index.html	(from )
14:47:45	54641/54641	------	200	untouched ('OK')	text/css	etag:W/%22251d28bd755f5269a4531df8a81d5664%22	https://use.fontawesome.com/releases/v5.7.0/css/all.css	D:/sites/MSR/use.fontawesome.com/releases/v5.7.0/css/all.css	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	121457/121457	------	200	untouched ('OK')	text/css	etag:%221550076100%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	D:/sites/MSR/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	88145/88145	------	200	untouched ('')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	D:/sites/MSR/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	39680/39680	------	200	untouched ('')	text/javascript	etag:%221550076106%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	D:/sites/MSR/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/js/bootstrap.min.js	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	63748/63748	------	200	untouched ('')	image/png	date:Thu,%2018%20Jun%202020%2000:55:32%20GMT	http://mudesuarotina.com/marketingdigital/imagens/01.png	D:/sites/MSR/mudesuarotina.com/marketingdigital/imagens/01.png	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	67579/67579	------	200	untouched ('')	image/png	date:Thu,%2018%20Jun%202020%2000:55:32%20GMT	http://mudesuarotina.com/marketingdigital/imagens/04.png	D:/sites/MSR/mudesuarotina.com/marketingdigital/imagens/04.png	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	108953/108953	------	200	untouched ('')	image/png	date:Thu,%2018%20Jun%202020%2000:55:32%20GMT	http://mudesuarotina.com/marketingdigital/imagens/02.png	D:/sites/MSR/mudesuarotina.com/marketingdigital/imagens/02.png	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	65742/65742	------	200	untouched ('')	image/png	date:Thu,%2018%20Jun%202020%2000:55:32%20GMT	http://mudesuarotina.com/marketingdigital/imagens/03.png	D:/sites/MSR/mudesuarotina.com/marketingdigital/imagens/03.png	(from http://mudesuarotina.com/marketingdigital/)
14:47:45	5628/5628	------	200	untouched ('')	image/gif	date:Thu,%2018%20Jun%202020%2000:55:32%20GMT	http://mudesuarotina.com/marketingdigital/imagens/PAGAMENTOSSSS.gif	D:/sites/MSR/mudesuarotina.com/marketingdigital/imagens/PAGAMENTOSSSS.gif	(from http://mudesuarotina.com/marketingdigital/)
14:50:59	4791694/4791694	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2000:55:32%20GMT	http://mudesuarotina.com/marketingdigital/imagens/FOTO.png	D:/sites/MSR/mudesuarotina.com/marketingdigital/imagens/FOTO.png	(from http://mudesuarotina.com/marketingdigital/)
